V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_2505	E0W1I1	8.35e-35	Serine/threonine-protein kinase Pink1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Pediculus humanus subsp. corporis (Body louse)	autophagy of mitochondrion [GO:0000422]; positive regulation of mitochondrial fission [GO:0090141]; regulation of apoptotic process [GO:0042981]	GO:0000422; GO:0004672; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005741; GO:0005743; GO:0005829; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0042981; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0046872; GO:0072354; GO:0072371; GO:0072518; GO:0090141; GO:0140823; GO:0140855; GO:0140857; GO:1990244
Ab_contig_2514	Q6RWA9	8.19e-107	Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha) (TNaK1-alpha)	Taenia solium (Pork tapeworm)	intracellular potassium ion homeostasis [GO:0030007]; intracellular sodium ion homeostasis [GO:0006883]; potassium ion import across plasma membrane [GO:1990573]; proton transmembrane transport [GO:1902600]; sodium ion export across plasma membrane [GO:0036376]	GO:0005391; GO:0005524; GO:0005886; GO:0006883; GO:0016887; GO:0030007; GO:0036376; GO:0046872; GO:1902600; GO:1990573
Ab_contig_2520	Q5R9J9	1.29e-44	Trafficking protein particle complex subunit 4	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	autophagy [GO:0006914]; dendrite development [GO:0016358]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	GO:0000139; GO:0005783; GO:0005795; GO:0006888; GO:0006914; GO:0008021; GO:0016358; GO:0030008; GO:0030425; GO:0048786; GO:0098839
Ab_contig_2522	P38542	1e-73	GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4)	Brugia malayi (Filarial nematode worm)	protein import into nucleus [GO:0006606]; ribosomal subunit export from nucleus [GO:0000054]	GO:0000054; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0006606
Ab_contig_2543	Q5R5B6	2.03e-34	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009897; GO:0034976; GO:0042470; GO:0046982
Ab_contig_2549	Q9U9L2	1.59e-54	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	Anopheles gambiae (African malaria mosquito)	cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625
Ab_contig_2550	Q10584	1.68e-21	Hemocyanin 2 (Keyhole limpet hemocyanin B) (KLH-B)	Megathura crenulata (Giant keyhole limpet)		GO:0005344; GO:0005576; GO:0016491; GO:0046872
Ab_contig_2560	P09645	2.77e-42	Tubulin alpha-8 chain (EC 3.6.5.-)	Gallus gallus (Chicken)	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0016787
Ab_contig_2576	P28075	4.34e-38	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit X) (Proteasome subunit beta-5) (beta-5)	Rattus norvegicus (Rat)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteolysis [GO:0006508]; response to oxidative stress [GO:0006979]	GO:0000502; GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005829; GO:0005839; GO:0006508; GO:0006979; GO:0008233; GO:0019774; GO:0043161
Ab_contig_2578	Q16956	2.68e-23	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (Immunoglobulin heavy chain-binding protein homolog) (BiP) (Protein 1603)	Aplysia californica (California sea hare)		GO:0003689; GO:0005524; GO:0005788; GO:0016887; GO:0061775; GO:0140584; GO:0140662; GO:0140665; GO:0140849
Ab_contig_2593	Q91Z53	1.83e-36	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	Mus musculus (Mouse)	dicarboxylic acid metabolic process [GO:0043648]; glyoxylate metabolic process [GO:0046487]	GO:0005737; GO:0008465; GO:0030267; GO:0031406; GO:0042803; GO:0043648; GO:0046487; GO:0051287; GO:0070402; GO:0120509; GO:1902494
Ab_contig_2599	P25773	7.78e-22	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Progesterone-dependent protein) (PDP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	Felis catus (Cat) (Felis silvestris catus)	antigen processing and presentation of peptide antigen [GO:0048002]; CD4-positive, alpha-beta T cell lineage commitment [GO:0043373]; collagen catabolic process [GO:0030574]; elastin catabolic process [GO:0060309]; enkephalin processing [GO:0034230]; immune response [GO:0006955]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein autoprocessing [GO:0016540]; proteolysis involved in protein catabolic process [GO:0051603]; zymogen activation [GO:0031638]	GO:0004175; GO:0004197; GO:0005615; GO:0005764; GO:0006955; GO:0008656; GO:0016324; GO:0016540; GO:0030574; GO:0031638; GO:0034230; GO:0042583; GO:0043373; GO:0046872; GO:0048002; GO:0051603; GO:0060309; GO:2001235
Ab_contig_2606	Q5F428	1.73e-26	Eukaryotic translation initiation factor 3 subunit L (eIF3l)	Gallus gallus (Chicken)	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0033290
Ab_contig_2611	F1Q8W0	2.91e-55	Splicing factor Cactin (zCactin)	Danio rerio (Zebrafish) (Brachydanio rerio)	anterior/posterior axis specification, embryo [GO:0008595]; eye development [GO:0001654]; innate immune response [GO:0045087]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of innate immune response [GO:0045824]; nervous system development [GO:0007399]; neural retina development [GO:0003407]; positive regulation of embryonic development [GO:0040019]	GO:0000398; GO:0001654; GO:0003407; GO:0005634; GO:0005681; GO:0005737; GO:0007399; GO:0008595; GO:0040019; GO:0045087; GO:0045292; GO:0045824
Ab_contig_2613	Q9VZN4	1.27e-58	Dendritic arbor reduction protein 1	Drosophila melanogaster (Fruit fly)	negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357; GO:0007026; GO:0007399; GO:0043565; GO:0045944; GO:0046872; GO:0050775; GO:1903861
Ab_contig_2620	Q4VIT4	1.58e-23	Protein disulfide-isomerase A3 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	adaptive immune response [GO:0002250]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	GO:0002250; GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009986; GO:0034976; GO:0042470
Ab_contig_2625	P36873	2.64e-60	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	Homo sapiens (Human)	blastocyst development [GO:0001824]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; MAPK cascade [GO:0000165]; mitotic sister chromatid segregation [GO:0000070]; neuron differentiation [GO:0030182]; positive regulation of glial cell proliferation [GO:0060252]; protein dephosphorylation [GO:0006470]; regulation of circadian rhythm [GO:0042752]; regulation of nucleocytoplasmic transport [GO:0046822]; spermatogenesis [GO:0007283]	GO:0000070; GO:0000165; GO:0000776; GO:0001824; GO:0003723; GO:0004721; GO:0004722; GO:0005521; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005741; GO:0005815; GO:0005829; GO:0005925; GO:0005977; GO:0006470; GO:0007283; GO:0008157; GO:0016607; GO:0016791; GO:0017018; GO:0019901; GO:0019904; GO:0030182; GO:0030496; GO:0032154; GO:0032922; GO:0032991; GO:0033192; GO:0042752; GO:0043153; GO:0043197; GO:0044877; GO:0046822; GO:0046872; GO:0051301; GO:0060252; GO:0072357; GO:0098793; GO:0098978; GO:0140791; GO:0180004; GO:0180005; GO:0180006; GO:0180007; GO:0180008; GO:1990439
Ab_contig_2626	Q18786	8.19e-54	Probable small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	Caenorhabditis elegans	spliceosomal snRNP assembly [GO:0000387]	GO:0000387; GO:0003723; GO:0005682; GO:0005685; GO:0005686; GO:0005829; GO:0034715; GO:0046540; GO:0071011; GO:0071013
Ab_contig_2627	A1A547	7.06e-24	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	Mus musculus (Mouse)	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; biological process involved in interaction with host [GO:0051701]; defense response to Gram-positive bacterium [GO:0050830]; detection of bacterium [GO:0016045]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; negative regulation of natural killer cell differentiation involved in immune response [GO:0032827]; negative regulation of type II interferon production [GO:0032689]; peptidoglycan catabolic process [GO:0009253]	GO:0005576; GO:0008270; GO:0008745; GO:0009253; GO:0016019; GO:0016045; GO:0031640; GO:0032689; GO:0032827; GO:0032991; GO:0042834; GO:0045087; GO:0046982; GO:0050830; GO:0051701; GO:0061844
Ab_contig_2630	Q1HPL8	2.47e-38	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	Bombyx mori (Silk moth)		GO:0005743
Ab_contig_2631	P07943	4.86e-48	Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR)	Rattus norvegicus (Rat)	cellular hyperosmotic salinity response [GO:0071475]; cellular response to methylglyoxal [GO:0097238]; cellular response to peptide [GO:1901653]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; epithelial cell maturation [GO:0002070]; fructose biosynthetic process [GO:0046370]; inner medullary collecting duct development [GO:0072061]; L-ascorbic acid biosynthetic process [GO:0019853]; maternal process involved in female pregnancy [GO:0060135]; metanephric collecting duct development [GO:0072205]; monosaccharide metabolic process [GO:0005996]; negative regulation of apoptotic process [GO:0043066]; norepinephrine metabolic process [GO:0042415]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of urine volume [GO:0035809]; renal water homeostasis [GO:0003091]; response to thyroid hormone [GO:0097066]; retinoid metabolic process [GO:0001523]; sorbitol biosynthetic process [GO:0006061]; stress-activated protein kinase signaling cascade [GO:0031098]; tissue homeostasis [GO:0001894]	GO:0001523; GO:0001758; GO:0001894; GO:0002070; GO:0003091; GO:0004032; GO:0005615; GO:0005829; GO:0005996; GO:0006061; GO:0018505; GO:0019853; GO:0031098; GO:0032838; GO:0033010; GO:0035809; GO:0036130; GO:0042415; GO:0042629; GO:0043066; GO:0043220; GO:0043795; GO:0044597; GO:0044598; GO:0046370; GO:0046427; GO:0047655; GO:0047939; GO:0047956; GO:0048471; GO:0048661; GO:0052650; GO:0060135; GO:0071475; GO:0072061; GO:0072205; GO:0097066; GO:0097238; GO:0097454; GO:1901653
Ab_contig_2659	Q19722	2.14e-29	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	Caenorhabditis elegans	asparaginyl-tRNA aminoacylation [GO:0006421]; translation [GO:0006412]	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006412; GO:0006421
Ab_contig_2673	P29775	2.64e-37	DNA-binding protein D-ETS-4	Drosophila melanogaster (Fruit fly)	regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000981; GO:0005634; GO:0006357; GO:0043565
Ab_contig_2676	P51688	4.54e-41	N-sulphoglucosamine sulphohydrolase (EC 3.10.1.1) (Sulfoglucosamine sulfamidase) (Sulphamidase)	Homo sapiens (Human)	determination of adult lifespan [GO:0008340]; glycosaminoglycan catabolic process [GO:0006027]; heparan sulfate proteoglycan catabolic process [GO:0030200]; motor behavior [GO:0061744]	GO:0005764; GO:0006027; GO:0008340; GO:0008484; GO:0016250; GO:0030200; GO:0043202; GO:0046872; GO:0061744; GO:0070062
Ab_contig_2687	P42577	1.15e-23	Soma ferritin (EC 1.16.3.1)	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]	GO:0004322; GO:0005737; GO:0006826; GO:0006880; GO:0008198; GO:0008199
Ab_contig_2689	Q6PDU7	1.16e-25	ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)	Rattus norvegicus (Rat)	proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	GO:0005743; GO:0015078; GO:0015986; GO:0042776; GO:0045259; GO:0045263
Ab_contig_2705	P26224	1.54e-23	Endoglucanase F (EGF) (EC 3.2.1.4) (Cellulase F) (Endo-1,4-beta-glucanase)	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_2714	Q9W6X3	2.83e-24	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)	Oryzias latipes (Japanese rice fish) (Japanese killifish)	chaperone cofactor-dependent protein refolding [GO:0051085]	GO:0005524; GO:0005739; GO:0005759; GO:0044183; GO:0046872; GO:0051082; GO:0051085; GO:0051087
Ab_contig_2720	P84336	6.87e-36	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Camelus dromedarius (Dromedary) (Arabian camel)		GO:0005524; GO:0005634; GO:0005856; GO:0005886; GO:0005925; GO:0015629; GO:0016787; GO:0032991; GO:0097433
Ab_contig_2722	Q3T112	1.27e-23	Proteasome subunit beta type-8 (EC 3.4.25.1) (Proteasome subunit beta-5i)	Bos taurus (Bovine)	fat cell differentiation [GO:0045444]; immune system process [GO:0002376]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0002376; GO:0004175; GO:0004298; GO:0005634; GO:0005829; GO:0005839; GO:0019774; GO:0043161; GO:0045444; GO:1990111
Ab_contig_2732	Q8C5L3	3.27e-50	CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)	Mus musculus (Mouse)	negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; regulation of stem cell population maintenance [GO:2000036]; regulation of translation [GO:0006417]; regulatory ncRNA-mediated gene silencing [GO:0031047]; trophectodermal cell differentiation [GO:0001829]	GO:0000122; GO:0001222; GO:0001829; GO:0004535; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006417; GO:0010606; GO:0030014; GO:0030015; GO:0031047; GO:0033147; GO:2000036
Ab_contig_2741	Q99442	5.1e-49	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	Homo sapiens (Human)	cotranslational protein targeting to membrane [GO:0006613]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; post-translational protein targeting to membrane, translocation [GO:0031204]	GO:0005783; GO:0005789; GO:0005791; GO:0006613; GO:0006620; GO:0016020; GO:0031204; GO:0038023
Ab_contig_2752	O08585	4.22e-27	Clathrin light chain A (Lca)	Mus musculus (Mouse)	cell division [GO:0051301]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	GO:0005198; GO:0005819; GO:0006886; GO:0016192; GO:0030130; GO:0030132; GO:0031410; GO:0051301; GO:0098843; GO:0098978
Ab_contig_2761	Q13454	6.14e-61	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3 (Oligosaccharyl transferase subunit TUSC3) (Magnesium uptake/transporter TUSC3) (Protein N33) (Tumor suppressor candidate 3)	Homo sapiens (Human)	cognition [GO:0050890]; magnesium ion transport [GO:0015693]; protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]; transmembrane transport [GO:0055085]	GO:0005739; GO:0005789; GO:0005886; GO:0006487; GO:0008250; GO:0015095; GO:0015693; GO:0018279; GO:0050890; GO:0055085
Ab_contig_2762	H9JW44	5.14e-32	Chitin deacetylase 7 (BmCDA7) (EC 3.5.1.41)	Bombyx mori (Silk moth)	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004099; GO:0005615; GO:0006032; GO:0046872
Ab_contig_2769	Q4V8T0	2.18e-34	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase) (MI oxygenase)	Danio rerio (Zebrafish) (Brachydanio rerio)	inositol catabolic process [GO:0019310]	GO:0005737; GO:0008199; GO:0019310; GO:0050113
Ab_contig_2789	Q9V3P0	4.62e-62	Peroxiredoxin 2 (EC 1.11.1.24) (Cytosolic thioredoxin peroxidase 1) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2)	Drosophila melanogaster (Fruit fly)	cell adhesion [GO:0007155]; cell redox homeostasis [GO:0045454]; determination of adult lifespan [GO:0008340]; germ cell development [GO:0007281]; germ cell migration [GO:0008354]; hydrogen peroxide catabolic process [GO:0042744]; removal of superoxide radicals [GO:0019430]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]	GO:0005829; GO:0006979; GO:0007155; GO:0007281; GO:0008340; GO:0008354; GO:0008379; GO:0019430; GO:0042594; GO:0042744; GO:0045454; GO:0051920; GO:0140824
Ab_contig_2801	P22304	3.12e-33	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	Homo sapiens (Human)	dermatan sulfate catabolic process [GO:0030209]; glycosaminoglycan catabolic process [GO:0006027]; heparan sulfate proteoglycan catabolic process [GO:0030200]	GO:0004423; GO:0005509; GO:0005737; GO:0005764; GO:0006027; GO:0030200; GO:0030209; GO:0043202
Ab_contig_2806	Q7ZTZ2	4.25e-44	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1)	Danio rerio (Zebrafish) (Brachydanio rerio)	ribosomal large subunit biogenesis [GO:0042273]	GO:0005730; GO:0042273
Ab_contig_2813	P41938	7.42e-38	Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 (EC 1.1.1.35)	Caenorhabditis elegans	fatty acid beta-oxidation [GO:0006635]	GO:0003857; GO:0005739; GO:0005759; GO:0006635; GO:0070403
Ab_contig_2837	P86223	4.78e-32	Non-selective voltage-gated ion channel VDAC2 (VDAC-2) (Outer mitochondrial membrane protein porin 2)	Mesocricetus auratus (Golden hamster)	binding of sperm to zona pellucida [GO:0007339]; mitochondrial outer membrane permeabilization [GO:0097345]; mitochondrial transmembrane transport [GO:1990542]; monoatomic anion transport [GO:0006820]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein polymerization [GO:0032272]	GO:0001669; GO:0005244; GO:0005524; GO:0005739; GO:0005741; GO:0006820; GO:0007339; GO:0008142; GO:0008308; GO:0015288; GO:0015485; GO:0016020; GO:0017128; GO:0031210; GO:0032272; GO:0042645; GO:0046930; GO:0097001; GO:0097225; GO:0097345; GO:1990542; GO:2001243
Ab_contig_2845	P63081	3.8e-47	V-type proton ATPase 16 kDa proteolipid subunit c (V-ATPase 16 kDa proteolipid subunit c) (Vacuolar proton pump 16 kDa proteolipid subunit c)	Rattus norvegicus (Rat)	negative regulation of autophagic cell death [GO:1904093]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of Wnt signaling pathway [GO:0030177]; synaptic vesicle lumen acidification [GO:0097401]	GO:0000220; GO:0008021; GO:0016020; GO:0030177; GO:0030665; GO:0030672; GO:0031625; GO:0033176; GO:0046961; GO:0070374; GO:0097401; GO:1904093
Ab_contig_2878	Q78P75	2.81e-46	Dynein light chain 2, cytoplasmic (Dynein light chain LC8-type 2)	Rattus norvegicus (Rat)	microtubule-based process [GO:0007017]	GO:0005737; GO:0005813; GO:0005856; GO:0005868; GO:0005874; GO:0007017; GO:0014069; GO:0031475; GO:0042802; GO:0044877; GO:0045505; GO:0097110; GO:0097731; GO:0098794; GO:0098978
Ab_contig_2891	Q9QY36	2.14e-35	N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (NatA catalytic subunit Naa10)	Mus musculus (Mouse)	N-terminal protein amino acid acetylation [GO:0006474]; negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric [GO:2000719]	GO:0004596; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0006474; GO:0008080; GO:0008999; GO:0031415; GO:0043022; GO:1990189; GO:2000719
Ab_contig_2901	Q792I0	6.17e-29	Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)	Rattus norvegicus (Rat)	exocytosis [GO:0006887]; morphogenesis of an epithelial sheet [GO:0002011]; neurotransmitter secretion [GO:0007269]; protein transport [GO:0015031]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]; synaptic vesicle transport [GO:0048489]	GO:0002011; GO:0005737; GO:0005886; GO:0005911; GO:0005923; GO:0006887; GO:0007269; GO:0008092; GO:0008582; GO:0015031; GO:0016323; GO:0019904; GO:0030165; GO:0030674; GO:0045202; GO:0048489; GO:0097016; GO:0097025; GO:0098793; GO:0098839; GO:0098978
Ab_contig_2908	P60843	1.43e-63	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Mus musculus (Mouse)	cytoplasmic translational initiation [GO:0002183]; positive regulation of transcription by RNA polymerase II [GO:0045944]; translational initiation [GO:0006413]	GO:0002183; GO:0003689; GO:0003724; GO:0003725; GO:0003743; GO:0005524; GO:0005829; GO:0005886; GO:0006413; GO:0010494; GO:0016281; GO:0016887; GO:0045944; GO:0048471; GO:0061775; GO:0097165; GO:0140584; GO:0140665; GO:0140849
Ab_contig_2909	Q8SZA8	1.48e-52	Adrenodoxin-like protein 2, mitochondrial (Ferredoxin-2)	Drosophila melanogaster (Fruit fly)	electron transport chain [GO:0022900]; iron-sulfur cluster assembly [GO:0016226]; P450-containing electron transport chain [GO:0140647]; positive regulation of ecdysteroid biosynthetic process [GO:0045998]; steroid biosynthetic process [GO:0006694]	GO:0005739; GO:0005759; GO:0006694; GO:0009055; GO:0016226; GO:0022900; GO:0045998; GO:0046872; GO:0051537; GO:0140647
Ab_contig_2918	P08503	9.02e-42	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)	Rattus norvegicus (Rat)	cardiac muscle cell differentiation [GO:0055007]; carnitine biosynthetic process [GO:0045329]; carnitine metabolic process [GO:0009437]; carnitine metabolic process, CoA-linked [GO:0019254]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; glycogen biosynthetic process [GO:0005978]; heart development [GO:0007507]; liver development [GO:0001889]; medium-chain fatty acid catabolic process [GO:0051793]; medium-chain fatty acid metabolic process [GO:0051791]; organic acid metabolic process [GO:0006082]; post-embryonic development [GO:0009791]; regulation of gluconeogenesis [GO:0006111]; response to cold [GO:0009409]; response to copper ion [GO:0046688]; response to glucocorticoid [GO:0051384]; response to hormone [GO:0009725]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]; response to xenobiotic stimulus [GO:0009410]	GO:0001889; GO:0003995; GO:0005737; GO:0005739; GO:0005759; GO:0005978; GO:0006082; GO:0006111; GO:0006635; GO:0007507; GO:0007584; GO:0009409; GO:0009410; GO:0009437; GO:0009725; GO:0009791; GO:0016853; GO:0019254; GO:0030424; GO:0031966; GO:0033539; GO:0042594; GO:0042802; GO:0042803; GO:0045329; GO:0046688; GO:0050660; GO:0051384; GO:0051791; GO:0051793; GO:0055007; GO:0070991
Ab_contig_2922	Q7T2D4	4.67e-40	Endoplasmic reticulum-Golgi intermediate compartment protein 2	Danio rerio (Zebrafish) (Brachydanio rerio)	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0005783; GO:0005789; GO:0005794; GO:0006888; GO:0006890; GO:0016020; GO:0030134; GO:0033116
Ab_contig_2926	O00303	3.62e-70	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	Homo sapiens (Human)	formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; proteolysis [GO:0006508]; translational initiation [GO:0006413]	GO:0001732; GO:0003743; GO:0004843; GO:0005829; GO:0005852; GO:0006413; GO:0006508; GO:0016020; GO:0016282; GO:0031369; GO:0033290; GO:0042802; GO:0045202; GO:0071541; GO:0075522; GO:0140492
Ab_contig_2927	O18993	1.49e-21	Cytochrome P450 3A21 (EC 1.14.14.1) (CYPIIIA21) (Cytochrome P450 CM3A-10)	Callithrix jacchus (White-tufted-ear marmoset)	oxidative demethylation [GO:0070989]; steroid metabolic process [GO:0008202]	GO:0004497; GO:0005506; GO:0005789; GO:0008202; GO:0016712; GO:0020037; GO:0050649; GO:0070989; GO:0101020
Ab_contig_2947	Q96HJ9	7.43e-22	Protein FMC1 homolog (ATP synthase assembly factor FMC1, mitochondrial) (Formation of mitochondrial complex V assembly factor 1 homolog)	Homo sapiens (Human)	mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; negative regulation of lipid catabolic process [GO:0050995]; regulation of type B pancreatic cell proliferation [GO:0061469]	GO:0005739; GO:0033615; GO:0050995; GO:0061469
Ab_contig_2949	P51544	9.07e-75	Arginine kinase (AK) (EC 2.7.3.3)	Haliotis madaka (Giant abalone) (Nordotis madaka)	phosphocreatine biosynthetic process [GO:0046314]	GO:0004054; GO:0004111; GO:0005524; GO:0005615; GO:0046314
